"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Sanjay Bhoi","Elected","18/05/2009","In office","Orissa","Bargarh","Indian National Congress","Male","Graduate","B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University",38,4,0,298,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",21.2342386044678,83.2767257433919,-83.2767257433919
"Sanjay Dina Patil","Elected","18/05/2009","In office","Maharashtra","Mumbai-North-East","Nationalist Congress Party","Male","Graduate","B.Com.; Educated at Mumbai University",43,6,0,340,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.1111742123534,72.876151679526,-72.876151679526
"Sanjay Jaiswal","Elected","18/05/2009","In office","Bihar","Paschim Champaran","Bharatiya Janata Party","Male","Post Graduate","M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",46,26,0,175,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",19.3079859900975,76.6649378625424,-76.6649378625424
"Sanjay Nirupam","Elected","18/05/2009","In office","Maharashtra","Mumbai-North","Indian National Congress","Male","Graduate","B.A. (Hons.) Political Science; Educated at A.N. College, Patna",47,44,0,231,"93%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.1111742123534,72.876151679526,-72.876151679526
"Sanjay Shamrao Dhotre","Elected","18/05/2009","In office","Maharashtra","Akola","Bharatiya Janata Party","Male","Graduate","B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",53,12,0,254,"75%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.7620731206535,77.1574281885558,-77.1574281885558
"Sanjay Singh Chauhan","Elected","18/05/2009","In office","Uttar Pradesh","Bijnor","Rashtriya Lok Dal","Male","Graduate","B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut",50,24,0,245,"88%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",29.4099252392928,78.4644166987458,-78.4644166987458
"Sanjay Sinh","Elected","18/05/2009","In office","Uttar Pradesh","Sultanpur","Indian National Congress","Male","Doctorate","M.A. (Hindi), Ph.D.; Educated at R.R.P.G. College, Amethi District,; Sultanpur, Uttar Pradesh",60,20,0,465,"77%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.3181714439968,82.1152742230869,-82.1152742230869
"Sanjeev Ganesh Naik","Elected","18/05/2009","In office","Maharashtra","Thane","Nationalist Congress Party","Male","Inter/ Higher Secondary","Educated at Mumbai University, Maharashtra",40,55,2,561,"94%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.6135744879043,73.2260997807526,-73.2260997807526
"Sansuma Khunggur Bwiswmuthiary","Elected","18/05/2009","In office","Assam","Kokrajhar","Bodoland People's Front","Male","Graduate","B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam",52,35,0,69,"60%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",26.59925292559,90.36304185922,-90.36304185922
"Santosh Chowdhary","Elected","18/05/2009","In office","Punjab","Hoshiarpur","Indian National Congress","Female","Post Graduate","M.A., B.Ed., Certificates in Home Science, Poultry and Animal Husbandry; Educated at Govt. College for Girls, Chandigarh, Govt. College of Education, Chandigarh, Punjab University and Himachal Pradesh University",67,34,0,0,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",31.6072888432588,75.9175232894213,-75.9175232894213
"Sarika Singh Baghel","Elected","18/05/2009","In office","Uttar Pradesh","Hathras","Rashtriya Lok Dal","Female","Post Graduate","M.A. (English); Educated at P. C. Bagla College, Hathras",32,0,0,0,"94%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",13.0298060021545,76.0955247235006,-76.0955247235006
"Saroj Pandey","Elected","18/05/2009","In office","Chhattisgarh","Durg","Bharatiya Janata Party","Female","Post Graduate","M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ",44,25,3,306,"73%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",21.20107870778,81.374089515087,-81.374089515087
"Satabdi Roy","Elected","18/05/2009","In office","West Bengal","Birbhum","All India Trinamool Congress","Female","Graduate","B.A.",42,2,0,0,"72%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",24.0617371335012,87.5587584464298,-87.5587584464298
"Sathyanarayana Sarvey","Elected","18/05/2009","In office","Andhra Pradesh","Malkajgiri","Indian National Congress","Male","Post Graduate","B.A, LL.B, LL.M.; Educated at Osmania University, Hyderabad and; Evening College of Law, Thilak Road, Abids, Hyderabad; Andhra Pradesh",58,4,0,264,"71%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",25.097910729669,88.1155414611021,-88.1155414611021
"Satpal Maharaj","Elected","18/05/2009","In office","Uttarakhand","Garhwal","Indian National Congress","Male","Inter/ Higher Secondary","Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ",60,113,9,80,"86%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",38.5,4.6,78,"82%",29.8806543758791,78.7141434517167,-78.7141434517167
"Saugata Roy","Elected","18/05/2009","In office","West Bengal","Dum Dum","All India Trinamool Congress","Male","Post Graduate","M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",65,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.9799313404767,74.0536217492995,-74.0536217492995
"Seema Upadhyay","Elected","18/05/2009","In office","Uttar Pradesh","Fatehpur Sikri","Bahujan Samaj Party","Female","Graduate","B.A.; Educated at Ismail Degree College",47,9,0,224,"86%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.8332749787316,80.7756791918721,-80.7756791918721
"Selja","Elected","18/05/2009","In office","Haryana","Ambala","Indian National Congress","Female","Post Graduate","M.A., M.Phil.; Educated at Convent of Jesus & Mary, New Delhi,; Graduation and Post-graduation from Panjab University, Chandigarh",49,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",30.3156504476663,76.8790019776795,-76.8790019776795
"Shafiqur Rahman Barq","Elected","18/05/2009","In office","Uttar Pradesh","Sambhal","Bahujan Samaj Party","Male","Graduate","B.A.; Educated at Agra University, Agra, Uttar Pradesh",82,25,0,70,"98%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",21.5562049854357,84.286342141011,-84.286342141011
"Shailendra Kumar","Elected","18/05/2009","In office","Uttar Pradesh","Kaushambi","Samajwadi Party","Male","Post Graduate","M. Com.; Educated at Allahabad University (Uttar Pradesh) ",52,268,3,143,"97%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.5344982448135,81.5313480994876,-81.5313480994876
"Sharad Chandra Govindrao Pawar","Elected","18/05/2009","In office","Maharashtra","Madha","Nationalist Congress Party","Male","Graduate","B.Com.",71,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.9510038081131,92.7617202020319,-92.7617202020319
"Sharad Yadav","Elected","18/05/2009","In office","Bihar","Madhepura","Janata Dal (United)","Male","Graduate","B.Sc., B.E. (Electrical); Educated at Robertson College and Jabalpur Engineering College, Jabalpur, Madhya Pradesh",65,121,0,41,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.7819361622487,86.8625936810099,-86.8625936810099
"Sharifuddin Shariq","Elected","18/05/2009","In office","Jammu and Kashmir","Baramulla","Jammu and Kashmir National Conference","Male","Post Graduate","M.A. (Urdu), B.Ed, D.T. and LL.B.; Educated at Jammu and Kashmir University and Aligarh Muslim University, Aligarh (UP) ",77,32,0,57,"88%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",34.427518304771,74.5132260550379,-74.5132260550379
"Shashi Tharoor","Elected","18/05/2009","In office","Kerala","Thiruvananthapuram","Indian National Congress","Male","Doctorate","Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",56,12,1,85,"88%","This MP was a Minister.  He tendered his resignation on 18th April, 2010.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only from 19th April, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",21.5,0.4,166,"77%",36.7,0.9,227,"84%",8.5754466799794,76.9818494099034,-76.9818494099034
"Shatrughan Sinha","Elected","18/05/2009","In office","Bihar","Patna Sahib","Bharatiya Janata Party","Male","Graduate","Educated at Film & Television Institute of Pune (FTII), Maharashtra",66,6,0,66,"72%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.4664779968945,85.3768359660654,-85.3768359660654
"Sheesh Ram Ola","Elected","18/05/2009","In office","Rajasthan","Jhunjhunu","Indian National Congress","Male","Matric","Educated at Education Board, Rajasthan",85,4,0,8,"93%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",28.0801385977775,75.5642774041801,-75.5642774041801
"Sher Singh Ghubaya","Elected","18/05/2009","In office","Punjab","Ferozpur","Shiromani Akali Dal","Male","Matric",,50,10,0,39,"62%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",25.8332749787316,80.7756791918721,-80.7756791918721
"Shibu Soren","Elected","18/05/2009","In office","Jharkhand","Dumka","Jharkhand Mukti Morcha","Male","Matric","Educated at Gola High School, Hazaribagh (Jharkhand) ",68,0,0,0,"20%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",24.2201277135848,87.0862810856302,-87.0862810856302
"Shivaji Adhalrao Patil","Elected","18/05/2009","In office","Maharashtra","Shirur","Shiv Sena","Male","Inter/ Higher Secondary","Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",56,10,0,699,"42%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",14.0565153822131,75.2532431481132,-75.2532431481132
"Shivaramagouda Shivanagouda","Elected","18/05/2009","In office","Karnataka","Koppal","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar",58,32,0,145,"77%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",15.5735466255628,76.293028017792,-76.293028017792
"Shivraj Singh Lodhi","Elected","18/05/2009","In office","Madhya Pradesh","Damoh","Bharatiya Janata Party","Male","Matric","Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",68,11,0,67,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.796444908481,79.5066054918679,-79.5066054918679
"Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle","Elected","18/05/2009","In office","Maharashtra","Satara","Nationalist Congress Party","Male","Post Graduate","Production Engg., Educated at Bharati Vidyapeeth",46,1,0,39,"52%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",17.6371651391792,74.2201532002753,-74.2201532002753
"Shripad Yesso Naik","Elected","18/05/2009","In office","Goa","North Goa","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",59,28,0,115,"80%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",20.5,0.5,150,"87%",15.5349151091064,73.9782885542002,-73.9782885542002
"Shriprakash Jaiswal","Elected","18/05/2009","In office","Uttar Pradesh","Kanpur","Indian National Congress","Male","Inter/ Higher Secondary","Educated at D.A.V. College, Kanpur, Uttar Pradesh",67,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11.9872980467808,75.554296912912,-75.554296912912
"Shruti Choudhry","Elected","18/05/2009","In office","Haryana","Bhiwani-Mahendragarh","Indian National Congress","Female","Graduate","B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra",36,12,0,423,"80%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",28.7322365332614,75.9703409473445,-75.9703409473445
"Sidhant Mohapatra","Elected","18/05/2009","In office","Orissa","Berhampur","Biju Janata Dal","Male","Post Graduate","M.B.A.; Educated at Institute of Marketing and Management",46,2,0,4,"63%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",15.1976498710357,76.4173838209143,-76.4173838209143
"Sisir Kumar Adhikari","Elected","18/05/2009","In office","West Bengal","Kanthi","All India Trinamool Congress","Male","Inter/ Higher Secondary","I.Sc.",70,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.4349906388682,80.2621041276595,-80.2621041276595
"Sivakumar @ J.K. Ritheesh. K","Elected","18/05/2009","In office","Tamil Nadu","Ramanthapuram","Dravida Munnetra Kazhagam","Male","Graduate","B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu",39,15,0,106,"39%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",9.5134386704615,78.85354228335,-78.85354228335
"Sk. Nurul Islam","Elected","18/05/2009","In office","West Bengal","Basirhat","All India Trinamool Congress","Male","Matric","ALIM; Educated at Khorki Sr. Madrasa",48,1,0,4,"44%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",21.751961704222,75.0311223627935,-75.0311223627935
"Sk. Saidul Haque","Elected","18/05/2009","In office","West Bengal","Bardhaman-Durgapur","Communist Party of India (Marxist)","Male","Post Graduate","M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University",58,71,0,193,"97%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",23.4077786484118,87.6081350777633,-87.6081350777633
"Sohan Potai","Elected","18/05/2009","In office","Chhattisgarh","Kanker","Bharatiya Janata Party","Male","Post Graduate","M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ",54,10,0,3,"70%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",32.0784180915423,76.3372031610008,-76.3372031610008
"Solanki Dinubhai Boghabhal","Elected","18/05/2009","In office","Gujarat","Junagadh","Bharatiya Janata Party","Male","Graduate","B.A.",55,0,0,0,"17%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",30.1,1,276,"80%",21.2705491197671,70.5522354303971,-70.5522354303971
"Somabhai Gandalal Koli Patel","Elected","18/05/2009","In office","Gujarat","Surendranagar","Indian National Congress","Male","Under Matric","Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat",72,1,0,6,"86%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",30.1,1,276,"80%",22.7678291673012,71.5667256716208,-71.5667256716208
"Somendra Nath Mitra","Elected","18/05/2009","In office","West Bengal","Diamond Harbour","All India Trinamool Congress","Male","Graduate","B.Sc., LL.B.",68,1,0,191,"47%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",21.1318672016234,74.5282967041845,-74.5282967041845
"Sonawane Pratap Narayanrao","Elected","18/05/2009","In office","Maharashtra","Dhule","Bharatiya Janata Party","Male","Graduate","B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)",63,12,0,232,"52%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",21.1318672016234,74.5282967041845,-74.5282967041845
"Sonia Gandhi","Elected","18/05/2009","In office","Uttar Pradesh","Rae Bareli","Indian National Congress","Female","Diploma Course","(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",65,1,0,0,"47%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.2075529348929,81.1477958597211,-81.1477958597211
"Srikanta Kumar Jena","Elected","18/05/2009","In office","Orissa","Balasore","Indian National Congress","Male","Graduate","B.A.; Educated at Kendrapara College, Utkal University, Cuttack, Orissa",62,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",20.6087132713566,83.1822365611442,-83.1822365611442
"Subhash Bapurao Wankhede","Elected","18/05/2009","In office","Maharashtra","Hingoli","Shiv Sena","Male","Matric","Educated at Zilla Parishad School, Hadgaon, Maharashtra",49,10,0,283,"64%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",23.8927853274755,85.4762397111365,-85.4762397111365
"Subodh Kant Sahay","Elected","18/05/2009","In office","Jharkhand","Ranchi","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at A.N. College, Patna and Ranchi University",61,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",23.1428173022784,85.3856572150095,-85.3856572150095
"Subrata Bakshi","Elected","21/12/2011","In office","West Bengal","Kolkata Dakshin","All India Trinamool Congress","Male","Professional Graduate","B.Sc., LL.B.",62,1,0,0,"31%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",8,0.2,52,"77%",8.1,0.1,30,"72%",22.5658448402431,88.3425015162713,-88.3425015162713
"Sucharu Ranjan Haldar","Elected","18/05/2009","In office","West Bengal","Ranaghat","All India Trinamool Congress","Male","Post Graduate","M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ",72,6,0,25,"82%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",28.7753355189536,79.1265012893445,-79.1265012893445
"Sudarshan Bhagat","Elected","18/05/2009","In office","Jharkhand","Lohardaga","Bharatiya Janata Party","Male","Graduate","B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",42,14,0,293,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",23.4780163586079,84.6704500671423,-84.6704500671423
"Sudip Bandyopadhyay","Elected","18/05/2009","In office","West Bengal","Kolkata Uttar","All India Trinamool Congress","Male","Graduate","B.Sc.; Educated at K.N. College, Berhampore, West Bengal",59,45,0,0,"89%","This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",21.9,0.6,78,"72%",22.5658448402431,88.3425015162713,-88.3425015162713
"Sukender Reddy Gutha","Elected","18/05/2009","In office","Andhra Pradesh","Nalgonda","Indian National Congress","Male","Graduate","B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",58,7,0,83,"64%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.0894227023477,79.3461315785414,-79.3461315785414
"Sukhdev Singh Libra","Elected","18/05/2009","In office","Punjab","Fatehgarh Sahib","Indian National Congress","Male","Matric","Educated at Shri Guru Govind Singh High School, Khanna, Distt. Ludhiana, Punjab",79,8,0,85,"98%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",30.5712717934247,76.3130265366258,-76.3130265366258
"Sultan Ahmed","Elected","18/05/2009","In office","West Bengal","Uluberia","All India Trinamool Congress","Male","Graduate","Calcutta University, West Bengal",59,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.087363851092,94.4348109940871,-94.4348109940871
"Sumitra Mahajan","Elected","18/05/2009","In office","Madhya Pradesh","Indore","Bharatiya Janata Party","Female","Post Graduate","M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ",69,42,2,440,"86%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",22.7113510994764,75.834422762684,-75.834422762684
"Supriya Sule","Elected","18/05/2009","In office","Maharashtra","Baramati","Nationalist Congress Party","Female","Graduate","B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",43,30,5,604,"86%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",26.9389453751254,81.3951716218387,-81.3951716218387
"Surendra Singh Nagar","Elected","18/05/2009","In office","Uttar Pradesh","Gautam Buddha Nagar","Bahujan Samaj Party","Male","Graduate","B.Com; Educated at SSV (PG) College, Hapur, Ghaziabad, Uttar Pradesh",47,21,0,272,"78%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",28.3786564538188,77.5214682882244,-77.5214682882244
