"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Rewati Raman Singh","Elected","18/05/2009","In office","Uttar Pradesh","Allahabad","Samajwadi Party","Male","Graduate","B.A., LL.B.",68,68,48,63,63,0,2,2,182,267,267,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.279351,81.9367138463516,-81.936714
"Rudramadhab Ray","Elected","18/05/2009","In office","Orissa","Kandhamal","Biju Janata Dal","Male","Graduate","B.Sc.; Educated at Ravenshaw College, Cuttack, Orissa",74,74,34,49,49,0,2,2,635,720,720,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.133004,84.0416630347364,-84.041663
"S. Alagiri","Elected","18/05/2009","In office","Tamil Nadu","Cuddalore","Indian National Congress","Male","Graduate","B.A.; Educated at Annamalai University, Tamil Nadu",59,59,19,34,34,0,2,2,398,483,483,"69%",0.89,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",11.526277,79.3449827894279,-79.344983
"S. Gandhiselvan","Elected","18/05/2009","In office","Tamil Nadu","Namakkal","Dravida Munnetra Kazhagam","Male","Post Graduate","M.A., M.Phil; Annamalai University",49,49,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11.302253,78.085102744888,-78.085103
"S. Jagathrakshakan","Elected","18/05/2009","In office","Tamil Nadu","Arakkonam","Dravida Munnetra Kazhagam","Male","Inter/ Higher Secondary","Educated at Valudvur",64,64,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20/01/1900",84.8307683570462,-84.830768
"S. Pakkirappa","Elected","18/05/2009","In office","Karnataka","Raichur","Bharatiya Janata Party","Male","Under Matric",,53,53,3,18,18,0,2,2,566,651,651,"64%",0.84,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",16.053729,76.9162379137696,-76.916238
"S. R. Jeyadurai","Elected","18/05/2009","In office","Tamil Nadu","Thoothukkudi","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., PGDYN; Educated at Pope's College, Sawyerpuram, Thoothukudi",43,43,11,26,26,0,2,2,448,533,533,"57%",0.77,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",8.846187,78.0324279378184,-78.032428
"S. Semmalai","Elected","18/05/2009","In office","Tamil Nadu","Salem","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L.; Educated at Alagappa College, Pushpam College and Madras Law College",67,67,92,107,107,4,6,6,390,475,475,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",11.644496,78.2471645073177,-78.247165
"S.P.Y. Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Nandyal","Indian National Congress","Male","Graduate","B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",62,62,3,18,18,0,2,2,0,85,85,"48%",0.68,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",21.5129,74.176841296382,-74.176841
"S.S. Palanimanickam","Elected","18/05/2009","In office","Tamil Nadu","Thanjavur","Dravida Munnetra Kazhagam","Male","Graduate","B.L.; Educated at Madras Law College, Chennai (Tamil Nadu) ",62,62,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",10.659804,79.1760871132645,-79.176087
"S.S. Ramasubbu","Elected","18/05/2009","In office","Tamil Nadu","Tirunelveli","Indian National Congress","Male","Post Graduate","M.A. (Economics), J.C.I.I.B. (Banking); Educated at Madurai Kamaraj University and Indian Institute of Bankers",62,62,123,138,138,0,2,2,752,837,837,"98%",1.18,1.18," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",8.779547,77.5625727701772,-77.562573
"Sabbam Hari","Elected","18/05/2009","In office","Andhra Pradesh","Anakapalli","Indian National Congress","Male","Graduate","B.Com.; Educated at A.V.N. College",60,60,0,15,15,0,2,2,0,85,85,"77%",0.97,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",31.569225,74.9454663389153,-74.945466
"Sachin Pilot","Elected","18/05/2009","In office","Rajasthan","Ajmer","Indian National Congress","Male","Post Graduate","B.A. (Hons), M.B.A.; Educated at St. Stephens College, University of Delhi, Delhi and Wharton Business School, University of Pennsylvania, Philadelphia, USA",35,35,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.313817,74.6308084315632,-74.630808
"Sadashivrao Dadoba Mandlik","Elected","18/05/2009","In office","Maharashtra","Kolhapur","Independent","Male","Graduate","B.A. (Hons.) English; Educated at University of Poona, Pune, Maharashtra",77,77,8,23,23,0,2,2,53,138,138,"48%",0.68,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",16.46075,74.1952476374334,-74.195248
"Sai Prathap Annayyagari","Elected","18/05/2009","In office","Andhra Pradesh","Rajampet","Indian National Congress","Male","Under Graduate","Educated at Gulbarga Medical College, Gulbarga, Karnataka",67,67,1,16,16,0,2,2,80,165,165,"86%",1.06,1.06,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",5.5,0.1,91,"70%",23.267466,78.0882271650199,-78.088227
"Sajjan Singh Verma","Elected","18/05/2009","In office","Madhya Pradesh","Dewas","Indian National Congress","Male","Post Graduate","M.A. (Sociology); Educated at G.A.C.C. Indore, Madhya Pradesh",59,59,47,62,62,0,2,2,322,407,407,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",22.80686,76.5138208831689,-76.513821
"Sakti Mohan Malik","Elected","18/05/2009","In office","West Bengal","Arambagh","Communist Party of India (Marxist)","Male","Post Graduate","M.A., B.Ed. (Bengali and Political Science); Educated at Burdwan University, West Bengal",53,53,4,19,19,0,2,2,26,111,111,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%","20/01/1900",84.8307683570462,-84.830768
"Salman Khurshid","Elected","18/05/2009","In office","Uttar Pradesh","Farrukhabad","Indian National Congress","Male","Post Graduate","B.A., M.A., B.CL.; Educated at St. Stephen`s College, Delhi and Oxford University, Oxford",59,59,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",27.436392,79.4356067945213,-79.435607
"Sambasiva Rayapati Rao","Elected","18/05/2009","In office","Andhra Pradesh","Guntur","Indian National Congress","Male","Graduate","B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",69,69,13,28,28,0,2,2,610,695,695,"67%",0.87,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",16.288923,80.0530980750737,-80.053098
"Sameer Magan Bhujbal","Elected","18/05/2009","In office","Maharashtra","Nashik","Nationalist Congress Party","Male","Matric","Educated at St. Mary`s Convent High School",38,38,11,26,26,0,2,2,227,312,312,"68%",0.88,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.225671,74.0938500175137,-74.09385
"Sandeep Dikshit","Elected","18/05/2009","In office","Delhi","East Delhi","Indian National Congress","Male","Post Graduate","M.A., P.G. Diploma in Rural Development; Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand, Gujarat",48,48,15,30,30,0,2,2,2,87,87,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.5,4.3,226,"96%",28.62962,77.2968515518902,-77.296852
"Sanjay Bhoi","Elected","18/05/2009","In office","Orissa","Bargarh","Indian National Congress","Male","Graduate","B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University",38,38,4,19,19,0,2,2,298,383,383,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",21.234239,83.2767257433919,-83.276726
"Sanjay Dina Patil","Elected","18/05/2009","In office","Maharashtra","Mumbai-North-East","Nationalist Congress Party","Male","Graduate","B.Com.; Educated at Mumbai University",43,43,6,21,21,0,2,2,340,425,425,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.111174,72.876151679526,-72.876152
"Sanjay Jaiswal","Elected","18/05/2009","In office","Bihar","Paschim Champaran","Bharatiya Janata Party","Male","Post Graduate","M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",46,46,26,41,41,0,2,2,175,260,260,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",19.307986,76.6649378625424,-76.664938
"Sanjay Nirupam","Elected","18/05/2009","In office","Maharashtra","Mumbai-North","Indian National Congress","Male","Graduate","B.A. (Hons.) Political Science; Educated at A.N. College, Patna",47,47,44,59,59,0,2,2,231,316,316,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.111174,72.876151679526,-72.876152
"Sanjay Shamrao Dhotre","Elected","18/05/2009","In office","Maharashtra","Akola","Bharatiya Janata Party","Male","Graduate","B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",53,53,12,27,27,0,2,2,254,339,339,"75%",0.95,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.762073,77.1574281885558,-77.157428
"Sanjay Singh Chauhan","Elected","18/05/2009","In office","Uttar Pradesh","Bijnor","Rashtriya Lok Dal","Male","Graduate","B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut",50,50,24,39,39,0,2,2,245,330,330,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",29.409925,78.4644166987458,-78.464417
"Sanjay Sinh","Elected","18/05/2009","In office","Uttar Pradesh","Sultanpur","Indian National Congress","Male","Doctorate","M.A. (Hindi), Ph.D.; Educated at R.R.P.G. College, Amethi District,; Sultanpur, Uttar Pradesh",60,60,20,35,35,0,2,2,465,550,550,"77%",0.97,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.318171,82.1152742230869,-82.115274
"Sanjeev Ganesh Naik","Elected","18/05/2009","In office","Maharashtra","Thane","Nationalist Congress Party","Male","Inter/ Higher Secondary","Educated at Mumbai University, Maharashtra",40,40,55,70,70,2,4,4,561,646,646,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.613574,73.2260997807526,-73.2261
"Sansuma Khunggur Bwiswmuthiary","Elected","18/05/2009","In office","Assam","Kokrajhar","Bodoland People's Front","Male","Graduate","B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam",52,52,35,50,50,0,2,2,69,154,154,"60%",0.8,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",26.599253,90.36304185922,-90.363042
"Santosh Chowdhary","Elected","18/05/2009","In office","Punjab","Hoshiarpur","Indian National Congress","Female","Post Graduate","M.A., B.Ed., Certificates in Home Science, Poultry and Animal Husbandry; Educated at Govt. College for Girls, Chandigarh, Govt. College of Education, Chandigarh, Punjab University and Himachal Pradesh University",67,67,34,49,49,0,2,2,0,85,85,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",31.607289,75.9175232894213,-75.917523
"Sarika Singh Baghel","Elected","18/05/2009","In office","Uttar Pradesh","Hathras","Rashtriya Lok Dal","Female","Post Graduate","M.A. (English); Educated at P. C. Bagla College, Hathras",32,32,0,15,15,0,2,2,0,85,85,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",13.029806,76.0955247235006,-76.095525
"Saroj Pandey","Elected","18/05/2009","In office","Chhattisgarh","Durg","Bharatiya Janata Party","Female","Post Graduate","M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ",44,44,25,40,40,3,5,5,306,391,391,"73%",0.93,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",21.201079,81.374089515087,-81.37409
"Satabdi Roy","Elected","18/05/2009","In office","West Bengal","Birbhum","All India Trinamool Congress","Female","Graduate","B.A.",42,42,2,17,17,0,2,2,0,85,85,"72%",0.92,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",24.061737,87.5587584464298,-87.558758
"Sathyanarayana Sarvey","Elected","18/05/2009","In office","Andhra Pradesh","Malkajgiri","Indian National Congress","Male","Post Graduate","B.A, LL.B, LL.M.; Educated at Osmania University, Hyderabad and; Evening College of Law, Thilak Road, Abids, Hyderabad; Andhra Pradesh",58,58,4,19,19,0,2,2,264,349,349,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",25.097911,88.1155414611021,-88.115541
"Satpal Maharaj","Elected","18/05/2009","In office","Uttarakhand","Garhwal","Indian National Congress","Male","Inter/ Higher Secondary","Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ",60,60,113,128,128,9,11,11,80,165,165,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",38.5,4.6,78,"82%",29.880654,78.7141434517167,-78.714143
"Saugata Roy","Elected","18/05/2009","In office","West Bengal","Dum Dum","All India Trinamool Congress","Male","Post Graduate","M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",65,65,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.979931,74.0536217492995,-74.053622
"Seema Upadhyay","Elected","18/05/2009","In office","Uttar Pradesh","Fatehpur Sikri","Bahujan Samaj Party","Female","Graduate","B.A.; Educated at Ismail Degree College",47,47,9,24,24,0,2,2,224,309,309,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.833275,80.7756791918721,-80.775679
"Selja","Elected","18/05/2009","In office","Haryana","Ambala","Indian National Congress","Female","Post Graduate","M.A., M.Phil.; Educated at Convent of Jesus & Mary, New Delhi,; Graduation and Post-graduation from Panjab University, Chandigarh",49,49,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",30.31565,76.8790019776795,-76.879002
"Shafiqur Rahman Barq","Elected","18/05/2009","In office","Uttar Pradesh","Sambhal","Bahujan Samaj Party","Male","Graduate","B.A.; Educated at Agra University, Agra, Uttar Pradesh",82,82,25,40,40,0,2,2,70,155,155,"98%",1.18,1.18," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",21.556205,84.286342141011,-84.286342
"Shailendra Kumar","Elected","18/05/2009","In office","Uttar Pradesh","Kaushambi","Samajwadi Party","Male","Post Graduate","M. Com.; Educated at Allahabad University (Uttar Pradesh) ",52,52,268,283,283,3,5,5,143,228,228,"97%",1.17,1.17," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",25.534498,81.5313480994876,-81.531348
"Sharad Chandra Govindrao Pawar","Elected","18/05/2009","In office","Maharashtra","Madha","Nationalist Congress Party","Male","Graduate","B.Com.",71,71,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.951004,92.7617202020319,-92.76172
"Sharad Yadav","Elected","18/05/2009","In office","Bihar","Madhepura","Janata Dal (United)","Male","Graduate","B.Sc., B.E. (Electrical); Educated at Robertson College and Jabalpur Engineering College, Jabalpur, Madhya Pradesh",65,65,121,136,136,0,2,2,41,126,126,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.781936,86.8625936810099,-86.862594
"Sharifuddin Shariq","Elected","18/05/2009","In office","Jammu and Kashmir","Baramulla","Jammu and Kashmir National Conference","Male","Post Graduate","M.A. (Urdu), B.Ed, D.T. and LL.B.; Educated at Jammu and Kashmir University and Aligarh Muslim University, Aligarh (UP) ",77,77,32,47,47,0,2,2,57,142,142,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",35.4,0,84,"89%",34.427518,74.5132260550379,-74.513226
"Shashi Tharoor","Elected","18/05/2009","In office","Kerala","Thiruvananthapuram","Indian National Congress","Male","Doctorate","Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",56,56,12,27,27,1,3,3,85,170,170,"88%",1.08,1.08,"This MP was a Minister.  He tendered his resignation on 18th April, 2010.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only from 19th April, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",21.5,0.4,166,"77%",36.7,0.9,227,"84%",8.575447,76.9818494099034,-76.981849
"Shatrughan Sinha","Elected","18/05/2009","In office","Bihar","Patna Sahib","Bharatiya Janata Party","Male","Graduate","Educated at Film & Television Institute of Pune (FTII), Maharashtra",66,66,6,21,21,0,2,2,66,151,151,"72%",0.92,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.466478,85.3768359660654,-85.376836
"Sheesh Ram Ola","Elected","18/05/2009","In office","Rajasthan","Jhunjhunu","Indian National Congress","Male","Matric","Educated at Education Board, Rajasthan",85,85,4,19,19,0,2,2,8,93,93,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",28.080139,75.5642774041801,-75.564277
"Sher Singh Ghubaya","Elected","18/05/2009","In office","Punjab","Ferozpur","Shiromani Akali Dal","Male","Matric",,50,50,10,25,25,0,2,2,39,124,124,"62%",0.82,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",25.833275,80.7756791918721,-80.775679
"Shibu Soren","Elected","18/05/2009","In office","Jharkhand","Dumka","Jharkhand Mukti Morcha","Male","Matric","Educated at Gola High School, Hazaribagh (Jharkhand) ",68,68,0,15,15,0,2,2,0,85,85,"20%",0.4,0.4,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",24.220128,87.0862810856302,-87.086281
"Shivaji Adhalrao Patil","Elected","18/05/2009","In office","Maharashtra","Shirur","Shiv Sena","Male","Inter/ Higher Secondary","Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",56,56,10,25,25,0,2,2,699,784,784,"42%",0.62,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",14.056515,75.2532431481132,-75.253243
"Shivaramagouda Shivanagouda","Elected","18/05/2009","In office","Karnataka","Koppal","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar",58,58,32,47,47,0,2,2,145,230,230,"77%",0.97,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",15.573547,76.293028017792,-76.293028
"Shivraj Singh Lodhi","Elected","18/05/2009","In office","Madhya Pradesh","Damoh","Bharatiya Janata Party","Male","Matric","Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",68,68,11,26,26,0,2,2,67,152,152,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.796445,79.5066054918679,-79.506605
"Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle","Elected","18/05/2009","In office","Maharashtra","Satara","Nationalist Congress Party","Male","Post Graduate","Production Engg., Educated at Bharati Vidyapeeth",46,46,1,16,16,0,2,2,39,124,124,"52%",0.72,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",17.637165,74.2201532002753,-74.220153
"Shripad Yesso Naik","Elected","18/05/2009","In office","Goa","North Goa","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",59,59,28,43,43,0,2,2,115,200,200,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","19/01/1900",0.5,150,"87%",15.534915,73.9782885542002,-73.978289
"Shriprakash Jaiswal","Elected","18/05/2009","In office","Uttar Pradesh","Kanpur","Indian National Congress","Male","Inter/ Higher Secondary","Educated at D.A.V. College, Kanpur, Uttar Pradesh",67,67,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",11.987298,75.554296912912,-75.554297
